"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pex_bm_apa2_anx_005,pex_bm_apa,,radio,"I felt nervous.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
pex_bm_apa2_anx_006,pex_bm_apa,,radio,"I felt uneasy.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
pex_bm_apa2_anx_007,pex_bm_apa,,radio,"I felt tense.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anx_001] >= '2' OR [pex_bm_apa1_anx_002] >= '2' OR [pex_bm_apa1_anx_003] >= '2'",y,,,pex_bm_apa2_anx_m01,,
pex_bm_apa2_anger_001,pex_bm_apa,"In the past SEVEN (7) DAYS....",radio,"I was irritated more than people knew.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anger_001] >= '2'",y,,,pex_bm_apa2_anger_m01,,
pex_bm_apa2_anger_002,pex_bm_apa,,radio,"I felt angry.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anger_001] >= '2'",y,,,pex_bm_apa2_anger_m01,,
pex_bm_apa2_anger_003,pex_bm_apa,,radio,"I felt like I was ready to explode.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anger_001] >= '2'",y,,,pex_bm_apa2_anger_m01,,
pex_bm_apa2_anger_004,pex_bm_apa,,radio,"I was grouchy.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anger_001] >= '2'",y,,,pex_bm_apa2_anger_m01,,
pex_bm_apa2_anger_005,pex_bm_apa,,radio,"I felt annoyed.","1, Never|2, Rarely|3, Sometimes|4, Often|5, Always|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_anger_001] >= '2'",y,,,pex_bm_apa2_anger_m01,,
pex_bm_apa2_sleep_001,pex_bm_apa,"In the past SEVEN (7) DAYS....",radio,"My sleep quality was...","5, Very Poor|4, Poor|3, Fair|2, Good|1, Very Good|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,,,
pex_bm_apa2_sleep_002,pex_bm_apa,,radio,"My sleep was refreshing.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_sleep_003,pex_bm_apa,,radio,"I had a problem with my sleep.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_sleep_004,pex_bm_apa,,radio,"I had difficulty falling asleep.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_sleep_005,pex_bm_apa,,radio,"My sleep was restless.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_sleep_006,pex_bm_apa,,radio,"I tried hard to get to sleep.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_sleep_007,pex_bm_apa,,radio,"I worried about not being able to fall asleep.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_sleep_008,pex_bm_apa,,radio,"I was satisfied with my sleep.","1, Not at all|2, A little bit|3, Somewhat|4, Quite a bit|5, Very Much|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_sleep_001] >= '2' ",y,,,pex_bm_apa2_sleep_m01,,
pex_bm_apa2_mania_001,pex_bm_apa,,radio,"Read each group of statements carefully. Choose the one statement in each group that best describes the way you have been feeling for the past week.","1, I do not feel happier or more cheerful than usual | 2, I occasionally feel happier than usual | 3, I often feel happier than usual | 4, I feel happier or more cheerful than usual most of the time | 5, I feel happier or more cheerful than usual all of the time. | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_mania_001] >= '2' OR [pex_bm_apa1_mania_002] >= '2'",y,,,,,
pex_bm_apa2_mania_002,pex_bm_apa,,radio,"Read each group of statements carefully. Choose the one statement in each group that best describes the way you have been feeling for the past week.","1, I do not feel more self-confident than usual | 2, I occasionally feel more self confident than usual | 3, I often feel more self-confident than usual | 4, I frequently feel more self-confident than usual | 5, I feel extremely self-confident all of the time | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_mania_001] >= '2' OR [pex_bm_apa1_mania_002] >= '2'",y,,,,,
pex_bm_apa2_mania_003,pex_bm_apa,,radio,"Read each group of statements carefully. Choose the one statement in each group that best describes the way you have been feeling for the past week.","1, I do not need less sleep than usual | 2, I occasionally need less sleep | 3, I often need less sleep than usual | 4, I frequently need less sleep than usual | 5, I can go all day and night without any sleep and still not feel tired | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_mania_001] >= '2' OR [pex_bm_apa1_mania_002] >= '2'",y,,,,,
pex_bm_apa2_mania_004,pex_bm_apa,,radio,"Read each group of statements carefully. Choose the one statement in each group that best describes the way you have been feeling for the past week.","1, I do not talk more than usual | 2, I occasionally talk more than usual | 3, I often talk more than usual | 4, I frequently talk more than usual | 5, I talk constantly and cannot be interrupted | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_mania_001] >= '2' OR [pex_bm_apa1_mania_002] >= '2'",y,,,,,
pex_bm_apa2_mania_005,pex_bm_apa,,radio,"Read each group of statements carefully. Choose the one statement in each group that best describes the way you have been feeling for the past week.","1, I have not been more active (either socially, sexually, at work, home or school) than usual | 2, I have occasionally been more active than usual | 3, I have often been more active than usual | 4, I have frequently been more active than usual | 5, I am constantly more active or on the go all of the time | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_mania_001] >= '2' OR [pex_bm_apa1_mania_002] >= '2'",y,,,,,
pex_bm_apa2_repet_001,pex_bm_apa,"In the past SEVEN (7) DAYS....",radio,"On average, how much time is occupied by these thoughts or behaviors each day?","0, None|1, Mild (Less than an hour a day)|2, Moderate (1 to 3 hours a day)|3, Severe (3 to 8 hours a day)|4, Extreme (more than 8 hours a day)|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_repet_001] >= '2' OR [pex_bm_apa1_repet_002] >= '2'",y,,,,,
pex_bm_apa2_repet_002,pex_bm_apa,,radio,"How much distress do these thoughts or behaviors cause you?","0, None|1, Mild (slightly disturbing)|2, Moderate (disturbing but still manageable)|3, Severe (very disturbing)|4, Extreme (overwhelming distress)|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_repet_001] >= '2' OR [pex_bm_apa1_repet_002] >= '2'",y,,,,,
pex_bm_apa2_repet_003,pex_bm_apa,,radio,"How hard is it for you to control these thoughts or behaviors?","0, Complete control|1, Much control (usually able to control thoughts or behaviors)|2, Moderate control (sometimes able to control thoughts or behaviors)|3, Little control (infrequently able to control thoughts or behaviors)|4, No control (unable to control thoughts or behaviors)|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_repet_001] >= '2' OR [pex_bm_apa1_repet_002] >= '2'",y,,,,,
pex_bm_apa2_repet_004,pex_bm_apa,,radio,"How much do these thoughts or behaviors cause you to avoid doing anything, going anyplace, or being with anyone?","0, No avoidance|1, Mild (occasional avoidance)|2, Moderate (regularly avoid doing these things)|3, Severe (frequent and extensive avoidance)|4, Extreme (nearly complete avoidance; house- bound)|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_repet_001] >= '2' OR [pex_bm_apa1_repet_002] >= '2'",y,,,,,
pex_bm_apa2_repet_005,pex_bm_apa,,radio,"How much do these thoughts or behaviors interfere with school, work, or your social or family life?","0, None|1, Mild (slight interference)|2, Moderate; (definite interference with functioning, but still manageable)|3, Severe (substantial interference)|4, Extreme (near-total interference; incapacitated)|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,"[pex_bm_apa1_repet_001] >= '2' OR [pex_bm_apa1_repet_002] >= '2'",y,,,,,
pex_bm_apa2_pers_001,pex_bm_apa,"This is a list of things different people might say about themselves. We are interested in how you would describe yourself. There are no right or wrong answers. So you can describe yourself as honestly as possible, we will keep your responses confidential. We'd like you to take your time and read each statement carefully, selecting the response that best describes you.",radio,"People would describe me as reckless.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_002,pex_bm_apa,,radio,"I feel like I act totally on impulse.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_003,pex_bm_apa,,radio,"Even though I know better, I can't stop making rash decisions.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_004,pex_bm_apa,,radio,"I often feel like nothing I do really matters.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_005,pex_bm_apa,,radio,"Others see me as irresponsible.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_006,pex_bm_apa,,radio,"I'm not good at planning ahead.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_007,pex_bm_apa,,radio,"My thoughts often don't make sense to others.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_008,pex_bm_apa,,radio,"I worry about almost everything.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_009,pex_bm_apa,,radio,"I get emotional easily, often for very little reason.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_010,pex_bm_apa,,radio,"I fear being alone in life more than anything else.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_011,pex_bm_apa,,radio,"I get stuck on one way of doing things, even when it's clear it won't work.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_012,pex_bm_apa,,radio,"I have seen things that weren't really there.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_013,pex_bm_apa,,radio,"I steer clear of romantic relationships.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_014,pex_bm_apa,,radio,"I'm not interested in making friends.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_015,pex_bm_apa,,radio,"I get irritated easily by all sorts of things.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_016,pex_bm_apa,,radio,"I don't like to get too close to people.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_017,pex_bm_apa,,radio,"It's no big deal if I hurt other peoples' feelings.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
pex_bm_apa2_pers_018,pex_bm_apa,,radio,"I rarely get enthusiastic about anything.","0, Very False or Often False|1, Sometimes or Somewhat False|2, Sometimes or Somewhat True|3, Very True or Often True|999, <font color=""gray"">Don't know</font>|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_apa2_pers_m01,,
